test_no,test_seq,wrong_word,status
1,"[77, 138, 15, 23, 143, 141, 70, 69, 113, 137, 53, 24, 96, 16, 33, 48, 5, 40, 54, 148, 101, 32, 25, 75, 47, 135, 108, 17, 151, 41]","[31, 123, 156, 17, 120, 110, 52, 52, 50, 133, 154, 23, 55, 118, 139, 67, 154, 83, 7, 10, 155, 28, 79, 14, 109, 34, 39, 20, 28, 52]",Done
2,"[139, 12, 45, 39, 110, 1, 6, 8, 26, 52, 29, 108, 0, 1, 78, 107, 57, 8, 2, 136, 43, 12, 60, 115, 122, 126, 4, 66, 21, 107]","[31, 123, 156, 17, 120, 110, 52, 52, 50, 133, 154, 23, 55, 118, 139, 67, 154, 83, 7, 10, 155, 28, 79, 14, 109, 34, 39, 20, 28, 52]",Done
3,"[43, 24, 16, 155, 2, 31, 11, 25, 110, 77, 92, 76, 60, 65, 8, 116, 67, 28, 27, 82, 32, 9, 32, 6, 51, 80, 97, 136, 124, 36]","[31, 123, 156, 17, 120, 110, 52, 52, 50, 133, 154, 23, 55, 118, 139, 67, 154, 83, 7, 10, 155, 28, 79, 14, 109, 34, 39, 20, 28, 52]",Done
4,"[154, 20, 20, 89, 120, 147, 14, 107, 135, 30, 13, 101, 117, 52, 144, 61, 22, 33, 18, 83, 22, 14, 73, 143, 31, 142, 55, 21, 79, 3]","[31, 123, 156, 17, 120, 110, 52, 52, 50, 133, 154, 23, 55, 118, 139, 67, 154, 83, 7, 10, 155, 28, 79, 14, 109, 34, 39, 20, 28, 52]",Done
5,"[14, 150, 54, 43, 38, 102, 16, 106, 39, 17, 154, 137, 14, 146, 38, 123, 20, 59, 153, 57, 104, 16, 90, 50, 42, 84, 123, 7, 32, 154]","[31, 123, 156, 17, 120, 110, 52, 52, 50, 133, 154, 23, 55, 118, 139, 67, 154, 83, 7, 10, 155, 28, 79, 14, 109, 34, 39, 20, 28, 52]",Done
6,"[40, 52, 44, 128, 83, 79, 4, 52, 106, 123, 146, 28, 152, 89, 115, 62, 52, 127, 34, 128, 58, 126, 68, 51, 110, 13, 28, 52, 103, 67]","[14, 150, 54, 43, 38, 102, 16, 106, 39, 17, 154, 137, 14, 146, 38, 123, 20, 59, 153, 57, 104, 16, 90, 50, 42, 84, 123, 7, 32, 154]",Done
7,"[138, 104, 123, 80, 56, 124, 133, 84, 123, 9, 55, 80, 120, 25, 151, 124, 45, 54, 118, 57, 17, 109, 155, 113, 5, 73, 81, 21, 32, 2]","[14, 150, 54, 43, 38, 102, 16, 106, 39, 17, 154, 137, 14, 146, 38, 123, 20, 59, 153, 57, 104, 16, 90, 50, 42, 84, 123, 7, 32, 154]",Done
8,"[24, 139, 95, 83, 56, 72, 58, 47, 123, 22, 121, 110, 127, 66, 127, 29, 40, 65, 60, 0, 98, 42, 136, 14, 101, 6, 106, 10, 144, 123]","[14, 150, 54, 43, 38, 102, 16, 106, 39, 17, 154, 137, 14, 146, 38, 123, 20, 59, 153, 57, 104, 16, 90, 50, 42, 84, 123, 7, 32, 154]",Done
9,"[31, 7, 154, 77, 125, 100, 44, 133, 49, 17, 120, 93, 110, 98, 129, 123, 132, 155, 14, 20, 152, 94, 42, 0, 100, 69, 54, 38, 90, 155]","[31, 123, 156, 17, 120, 110, 52, 52, 50, 133, 154, 23, 55, 118, 139, 67, 154, 83, 7, 10, 155, 28, 79, 14, 109, 34, 39, 20, 28, 52]",Done
10,"[157, 116, 91, 9, 70, 50, 28, 102, 66, 155, 79, 125, 103, 153, 130, 102, 105, 43, 49, 143, 12, 100, 144, 95, 46, 36, 54, 157, 64, 154]","[157, 116, 91, 9, 70, 50, 28, 102, 66, 155, 79, 125, 103, 153, 130, 102, 105, 43, 49, 143, 12, 100, 144, 95, 46, 36, 54, 157, 64, 154]",Done
11,"[130, 36, 157, 148, 155, 60, 31, 137, 95, 112, 38, 194, 31, 77, 105, 15, 163, 87, 102, 91, 198, 104, 105, 150, 64, 169, 152, 209, 105, 125]","[157, 116, 91, 9, 70, 50, 28, 102, 66, 155, 79, 125, 103, 153, 130, 102, 105, 43, 49, 143, 12, 100, 144, 95, 46, 36, 54, 157, 64, 154]",Done
12,"[105, 157, 98, 34, 8, 91, 30, 56, 66, 85, 120, 54, 93, 8, 186, 109, 50, 36, 79, 180, 7, 217, 102, 85, 202, 15, 9, 210, 177, 185]","[157, 116, 91, 9, 70, 50, 28, 102, 66, 155, 79, 125, 103, 153, 130, 102, 105, 43, 49, 143, 12, 100, 144, 95, 46, 36, 54, 157, 64, 154]",Done
13,"[112, 103, 130, 75, 197, 120, 155, 18, 84, 26, 28, 137, 193, 100, 128, 73, 9, 111, 6, 34, 208, 21, 23, 80, 179, 16, 125, 196, 155, 157]","[157, 116, 91, 9, 70, 50, 28, 102, 66, 155, 79, 125, 103, 153, 130, 102, 105, 43, 49, 143, 12, 100, 144, 95, 46, 36, 54, 157, 64, 154]",Done
14,"[123, 102, 200, 43, 28, 59, 57, 183, 47, 121, 91, 40, 27, 12, 59, 178, 14, 9, 155, 154, 217, 9, 173, 205, 100, 180, 196, 125, 122, 38]","[157, 116, 91, 9, 70, 50, 28, 102, 66, 155, 79, 125, 103, 153, 130, 102, 105, 43, 49, 143, 12, 100, 144, 95, 46, 36, 54, 157, 64, 154]",Done
15,"[125, 102, 39, 107, 104, 131, 53, 132, 92, 28, 4, 135, 183, 76, 12, 111, 140, 102, 197, 53, 50, 125, 71, 88, 49, 104, 149, 79, 12, 174]","[125, 102, 39, 107, 104, 131, 53, 132, 92, 28, 135, 183, 76, 12, 111, 140, 102, 197, 53, 50, 125, 71, 88, 49, 104, 149, 79, 12, 174]",Done
16,"[61, 192, 149, 12, 47, 52, 149, 12, 61, 39, 191, 30, 104, 82, 14, 196, 169, 115, 4, 134, 29, 111, 132, 139, 125, 81, 88, 209, 97, 80]","[125, 102, 39, 107, 104, 131, 53, 132, 92, 28, 135, 183, 76, 12, 111, 140, 102, 197, 53, 50, 125, 71, 88, 49, 104, 149, 79, 12, 174]",Done
17,"[103, 203, 50, 194, 121, 93, 71, 20, 38, 88, 71, 32, 154, 198, 217, 197, 168, 47, 64, 203, 134, 164, 159, 115, 59, 35, 201, 71, 125, 31]",0,None
18,0,0,None
19,0,0,None
20,0,0,None
21,0,0,None
22,0,0,None
23,0,0,None
24,0,0,None
25,0,0,None
26,0,0,None
27,0,0,None
28,0,0,None
29,0,0,None
30,0,0,None
31,0,0,None
32,0,0,None
33,0,0,None
34,0,0,None
35,0,0,None
36,0,0,None
37,0,0,None
38,0,0,None
39,0,0,None
40,0,0,None
41,0,0,None
42,0,0,None
43,0,0,None
44,0,0,None
45,0,0,None
46,0,0,None
47,0,0,None
48,0,0,None
49,0,0,None
50,0,0,None
51,0,0,None
52,0,0,None
53,0,0,None
54,0,0,None
55,0,0,None
56,0,0,None
57,0,0,None
58,0,0,None
59,0,0,None
60,0,0,None
61,0,0,None
62,0,0,None
63,0,0,None
64,0,0,None
65,0,0,None
66,0,0,None
67,0,0,None
68,0,0,None
69,0,0,None
70,0,0,None
71,0,0,None
72,0,0,None
73,0,0,None
74,0,0,None
75,0,0,None
76,0,0,None
77,0,0,None
